OM	w
0.035094683	-0.428267673
0.035099018	-0.432597951
0.035103353	-0.436928230
0.035107688	-0.441258508
0.035112023	-0.445588786
0.036324405	-0.367638963
0.036328740	-0.371969241
0.036333075	-0.376299519
0.036337410	-0.380629797
0.036341745	-0.384960076
0.036346080	-0.389290354
0.036350415	-0.393620632
0.036354750	-0.397950910
0.036359085	-0.402281188
0.036363420	-0.406611466
0.036367756	-0.410941744
0.036372091	-0.415272022
0.036376426	-0.419602300
0.036380761	-0.423932578
0.036385096	-0.428262857
0.036389431	-0.432593135
0.036393766	-0.436923413
0.036398101	-0.441253691
0.036402436	-0.445583969
0.036406771	-0.449914247
0.037614818	-0.367634146
0.037619153	-0.371964425
0.037623488	-0.376294703
0.037627823	-0.380624981
0.037632158	-0.384955259
0.037636493	-0.389285537
0.037640828	-0.393615815
0.037645164	-0.397946093
0.037649499	-0.402276371
0.037653834	-0.406606649
0.037658169	-0.410936927
0.037662504	-0.415267205
0.037666839	-0.419597484
0.037671174	-0.423927762
0.037675509	-0.428258040
0.037679844	-0.432588318
0.037684179	-0.436918596
0.037688514	-0.441248874
0.037692850	-0.445579152
0.037697185	-0.449909430
0.037701520	-0.454239708
0.038905231	-0.367629330
0.038909566	-0.371959608
0.038913901	-0.376289886
0.038918236	-0.380620164
0.038922571	-0.384950442
0.038926907	-0.389280720
0.038931242	-0.393610998
0.038935577	-0.397941276
0.038939912	-0.402271554
0.038944247	-0.406601833
0.038948582	-0.410932111
